"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"Rome town, Kennebec County, Maine","Town","367","362","627","758","980"
"Sidney town, Kennebec County, Maine","Town","988","1,319","2,052","2,593","3,514"
"Unity UT,Kennebec County, Maine","Town","53","45","37","36","31"
"Vassalboro town, Kennebec County, Maine","Town","2,446","2,618","3,410","3,679","4,047"
"Vienna town, Kennebec County, Maine","Town","160","205","454","417","527"
"Waterville city, Kennebec County, Maine","Town","18,695","18,192","17,779","17,173","15,605"
"Wayne town, Kennebec County, Maine","Town","498","577","680","1,029","1,112"
"West Gardiner town, Kennebec County, Maine","Town","1,144","1,435","2,113","2,513","2,902"
"Windsor town, Kennebec County, Maine","Town","878","1,097","1,702","1,895","2,204"
"Winslow town, Kennebec County, Maine","Town","5,891","7,299","8,057","7,997","7,743"
"Winthrop town, Kennebec County, Maine","Town","3,537","4,335","5,889","5,968","6,232"
"Appleton town, Knox County, Maine","Town","672","628","818","1,069","1,271"
"Camden town, Knox County, Maine","Town","3,988","4,115","4,584","5,060","5,254"
"Criehaven UT,Knox County, Maine","Town","14","0","5","","0"
"Cushing town, Knox County, Maine","Town","479","522","795","988","1,322"
"Friendship town, Knox County, Maine","Town","806","834","1,000","1,099","1,204"
"Hope town, Knox County, Maine","Town","525","500","730","1,017","1,310"
"Isle au Haut town, Knox County, Maine","Town","68","45","57","46","79"
"Matinicus Isle plantation,Knox County, Maine","Town","100","90","66","67","51"
"North Haven town, Knox County, Maine","Town","384","399","373","332","381"
"Owls Head town, Knox County, Maine","Town","994","1,281","1,633","1,574","1,601"
"Rockland city, Knox County, Maine","Town","8,769","8,505","7,919","7,972","7,609"
"Rockport town, Knox County, Maine","Town","1,893","2,067","2,749","2,854","3,209"
"St. George town, Knox County, Maine","Town","1,588","1,639","1,948","2,261","2,580"
"South Thomaston town, Knox County, Maine","Town","732","831","1,064","1,227","1,416"
"Thomaston town, Knox County, Maine","Town","2,780","2,646","2,900","3,306","3,748"
"Union town, Knox County, Maine","Town","1,196","1,189","1,569","1,989","2,209"
"Vinalhaven town, Knox County, Maine","Town","1,273","1,135","1,211","1,072","1,235"
"Warren town, Knox County, Maine","Town","1,678","1,864","2,566","3,192","3,794"
"Washington town, Knox County, Maine","Town","636","723","954","1,185","1,345"
"Alna town, Lincoln County, Maine","Town","347","315","425","571","675"
"Boothbay town, Lincoln County, Maine","Town","1,617","1,814","2,308","2,648","2,960"
"Boothbay Harbor town, Lincoln County, Maine","Town","2,252","2,320","2,207","2,347","2,334"
"Bremen town, Lincoln County, Maine","Town","438","454","598","674","782"
"Bristol town, Lincoln County, Maine","Town","1,441","1,721","2,095","2,326","2,644"
"Damariscotta town, Lincoln County, Maine","Town","1,093","1,264","1,493","1,811","2,041"
"Dresden town, Lincoln County, Maine","Town","766","787","998","1,332","1,625"
"Edgecomb town, Lincoln County, Maine","Town","453","549","841","993","1,090"
"Hibberts gore,Lincoln County, Maine","Town","0","0","2","","1"
"Jefferson town, Lincoln County, Maine","Town","1,048","1,242","1,616","2,111","2,388"
"Monhegan plantation,Lincoln County, Maine","Town","65","44","109","88","75"
"Newcastle town, Lincoln County, Maine","Town","1,101","1,076","1,227","1,538","1,748"
"Nobleboro town, Lincoln County, Maine","Town","679","850","1,154","1,455","1,626"
"Somerville town, Lincoln County, Maine","Town","254","215","377","458","509"
"South Bristol town, Lincoln County, Maine","Town","610","664","800","825","897"
"Southport town, Lincoln County, Maine","Town","416","473","598","645","684"
"Waldoboro town, Lincoln County, Maine","Town","2,882","3,146","3,985","4,601","4,916"
"Westport town, Lincoln County, Maine","Town","133","228","420","663","745"
"Whitefield town, Lincoln County, Maine","Town","1,068","1,131","1,606","1,931","2,273"
"Wiscasset town, Lincoln County, Maine","Town","1,800","2,244","2,832","3,339","3,603"
"Andover town, Oxford County, Maine","Town","762","791","850","953","864"
"Bethel town, Oxford County, Maine","Town","2,408","2,220","2,340","2,329","2,411"
"Brownfield town, Oxford County, Maine","Town","538","478","767","1,034","1,251"
"Buckfield town, Oxford County, Maine","Town","982","929","1,333","1,566","1,723"
"Byron town, Oxford County, Maine","Town","108","132","114","111","121"
"Canton town, Oxford County, Maine","Town","728","742","831","951","1,121"
"Denmark town, Oxford County, Maine","Town","376","397","672","855","1,004"
"Dixfield town, Oxford County, Maine","Town","2,323","2,188","2,389","2,574","2,514"
"Fryeburg town, Oxford County, Maine","Town","1,874","2,208","2,715","2,968","3,083"
"Gilead town, Oxford County, Maine","Town","136","153","191","204","156"
"Greenwood town, Oxford County, Maine","Town","601","610","653","689","802"
"Hanover town, Oxford County, Maine","Town","240","275","256","272","251"
"Hartford town, Oxford County, Maine","Town","325","312","480","722","963"
"Hebron town, Oxford County, Maine","Town","465","532","665","878","1,053"
"Hiram town, Oxford County, Maine","Town","699","686","1,067","1,260","1,423"
"Lincoln plantation,Oxford County, Maine","Town","99","60","50","38","46"
"Lovell town, Oxford County, Maine","Town","588","607","767","888","974"
"Magalloway plantation,Oxford County, Maine","Town","50","75","79","45","37"
"Mexico town, Oxford County, Maine","Town","5,043","4,309","3,698","3,344","2,959"
"Milton UT,Oxford County, Maine","Town","0","138","123","128","123"
"Newry town, Oxford County, Maine","Town","260","208","235","316","344"
"North Oxford UT,Oxford County, Maine","Town","0","9","37","11","17"
"Norway town, Oxford County, Maine","Town","3,733","3,595","4,042","4,754","4,611"
"Otisfield town, Oxford County, Maine","Town","549","589","897","1,136","1,560"
"Oxford town, Oxford County, Maine","Town","1,658","1,892","3,143","3,705","3,960"
"Paris town, Oxford County, Maine","Town","3,601","3,739","4,168","4,492","4,793"
"Peru town, Oxford County, Maine","Town","1,229","1,345","1,564","1,541","1,515"
"Porter town, Oxford County, Maine","Town","975","1,115","1,222","1,301","1,438"
"Roxbury town, Oxford County, Maine","Town","344","271","373","437","384"
"Rumford town, Oxford County, Maine","Town","10,005","9,363","8,240","7,078","6,472"
"South Oxford UT,Oxford County, Maine","Town","0","184","348","455","515"
"Stoneham town, Oxford County, Maine","Town","182","160","204","224","255"
"Stow town, Oxford County, Maine","Town","108","100","186","283","288"
"Sumner town, Oxford County, Maine","Town","481","525","613","761","854"
"Sweden town, Oxford County, Maine","Town","119","110","163","222","324"
"Upton town, Oxford County, Maine","Town","35","54","65","70","62"
"Waterford town, Oxford County, Maine","Town","834","760","951","1,299","1,455"
"West Paris town, Oxford County, Maine","Town","1,050","1,171","1,390","1,514","1,722"
"Woodstock town, Oxford County, Maine","Town","930","1,005","1,087","1,194","1,307"
"Alton town, Penobscot County, Maine","Town","303","340","468","771","816"
"Argyle UT,Penobscot County, Maine","Town","128","155","225","202","253"
"Bangor city, Penobscot County, Maine","Town","38,912","33,168","31,643","33,181","31,473"
"Bradford town, Penobscot County, Maine","Town","690","569","888","1,103","1,186"
"Bradley town, Penobscot County, Maine","Town","951","1,010","1,149","1,136","1,242"
"Brewer city, Penobscot County, Maine","Town","9,009","9,300","9,017","9,021","8,987"
"Burlington town, Penobscot County, Maine","Town","353","266","322","360","351"
"Carmel town, Penobscot County, Maine","Town","1,206","1,301","1,695","1,906","2,416"
"Carroll plantation,Penobscot County, Maine","Town","147","132","175","0","144"
"Charleston town, Penobscot County, Maine","Town","750","909","1,037","1,187","1,397"
"Chester town, Penobscot County, Maine","Town","261","255","434","442","525"
"Clifton town, Penobscot County, Maine","Town","227","233","462","607","743"
"Corinna town, Penobscot County, Maine","Town","1,895","1,700","1,887","2,196","2,145"
"Corinth town, Penobscot County, Maine","Town","1,138","1,212","1,711","2,177","2,511"
"Dexter town, Penobscot County, Maine","Town","3,951","3,725","4,286","4,419","3,890"
"Dixmont town, Penobscot County, Maine","Town","551","559","812","1,007","1,065"
"Drew plantation,Penobscot County, Maine","Town","43","32","57","43","57"
"East Central Penobscot UT,Penobscot County, Maine","Town","0","0","0","12","324"
"East Millinocket town, Penobscot County, Maine","Town","2,392","2,567","2,372","2,166","1,828"
"Eddington town, Penobscot County, Maine","Town","958","1,358","1,769","1,947","2,052"
"Edinburg town, Penobscot County, Maine","Town","19","67","126","107","98"
"Enfield town, Penobscot County, Maine","Town","1,098","1,148","1,397","1,476","1,616"
"Etna town, Penobscot County, Maine","Town","486","526","758","977","1,012"
"Exeter town, Penobscot County, Maine","Town","707","663","823","937","997"
"Garland town, Penobscot County, Maine","Town","568","596","718","1,064","990"
"Glenburn town, Penobscot County, Maine","Town","965","1,196","2,319","3,198","3,964"
"Greenbush town, Penobscot County, Maine","Town","565","591","1,064","1,309","1,421"
"Hampden town, Penobscot County, Maine","Town","4,583","4,693","5,250","5,974","6,327"
"Hermon town, Penobscot County, Maine","Town","2,087","2,376","3,170","3,755","4,437"
